,x,y
0,0,55
1,1,56
2,2,57
3,3,58
4,4,58
5,5,59
6,6,59
7,7,60
8,8,61
9,9,61
10,10,62
11,11,63
12,12,63
13,13,64
14,14,65
15,15,65
16,16,66
17,17,66
18,18,67
19,19,68
20,20,68
21,21,69
22,22,70
23,23,71
24,24,71
25,25,72
26,26,72
27,27,73
28,28,74
29,29,74
30,30,75
31,31,76
32,32,76
33,33,77
34,34,78
35,35,79
36,36,80
37,37,81
38,38,81
39,39,82
40,40,82
41,41,83
42,42,83
43,43,84
44,44,84
45,45,85
46,46,86
47,47,86
48,48,87
49,49,87
50,50,88
51,51,89
52,52,89
53,53,90
54,54,90
55,55,91
56,56,92
57,57,92
58,58,93
59,59,93
60,60,94
61,61,95
62,62,95
63,63,96
64,64,97
65,65,97
66,66,98
67,67,98
68,68,99
69,69,99
70,70,100
71,71,100
72,72,101
73,73,101
74,74,102
75,75,103
76,76,103
77,77,103
78,78,104
79,79,105
80,80,105
81,81,106
82,82,106
83,83,107
84,84,108
85,85,108
86,86,109
87,87,109
88,88,110
89,89,110
90,90,111
91,91,111
92,92,112
93,93,113
94,94,113
95,95,114
96,96,114
97,97,115
98,98,116
99,99,116
100,100,116
101,101,116
102,102,116
103,103,116
104,104,116
105,105,116
106,106,116
107,107,115
108,108,114
109,109,114
110,110,114
111,111,113
112,112,113
113,113,112
114,114,112
115,115,112
116,116,111
117,117,110
118,118,110
119,119,109
120,120,109
121,121,108
122,122,108
123,123,107
124,124,107
125,125,106
126,126,106
127,127,105
128,128,105
129,129,104
130,130,104
131,131,103
132,132,103
133,133,102
134,134,102
135,135,101
136,136,101
137,137,100
138,138,100
139,139,99
140,140,98
141,141,98
142,142,98
143,143,97
144,144,96
145,145,96
146,146,95
147,147,94
148,148,94
149,149,94
150,150,93
151,151,93
152,152,92
153,153,91
154,154,91
155,155,90
156,156,89
157,157,89
158,158,88
159,159,88
160,160,87
161,161,87
162,162,86
163,163,85
164,164,85
165,165,84
166,166,83
167,167,83
168,168,82
169,169,81
170,170,81
171,171,80
172,172,80
173,173,79
174,174,78
175,175,78
176,176,77
177,177,77
178,178,76
179,179,75
180,180,74
181,181,74
182,182,74
183,183,73
184,184,72
185,185,72
186,186,71
187,187,71
188,188,68
189,189,67
190,190,61
191,191,60
192,192,61
193,193,60
194,194,60
195,195,59
196,196,58
197,197,57
198,198,56
199,199,55
