,x,y
0,4,24
1,5,26
2,6,33
3,7,34
4,8,34
5,9,35
6,10,36
7,11,37
8,12,38
9,13,38
10,14,39
11,15,39
12,16,40
13,17,48
14,18,49
15,19,49
16,20,50
17,21,51
18,22,52
19,23,52
20,24,53
21,25,54
22,26,55
23,27,55
24,28,56
25,29,57
26,30,58
27,31,59
28,32,60
29,33,61
30,34,62
31,35,62
32,36,63
33,37,64
34,38,65
35,39,67
36,40,67
37,41,68
38,42,69
39,43,70
40,44,71
41,45,72
42,46,73
43,47,73
44,48,74
45,49,74
46,50,75
47,51,76
48,52,77
49,53,78
50,54,79
51,55,80
52,56,81
53,57,82
54,58,84
55,59,84
56,60,85
57,61,87
58,62,88
59,63,88
60,64,89
61,65,89
62,66,90
63,67,91
64,68,92
65,69,92
66,70,90
67,71,94
68,72,94
69,73,94
70,74,95
71,75,96
72,76,96
73,77,96
74,78,97
75,79,98
76,80,98
77,81,99
78,82,99
79,83,100
80,84,101
81,85,101
82,86,102
83,87,102
84,88,103
85,89,103
86,90,104
87,91,104
88,92,105
89,93,106
90,94,106
91,95,107
92,96,107
93,97,108
94,98,108
95,99,109
96,100,109
97,101,110
98,102,110
99,103,111
100,104,111
101,105,112
102,106,112
103,107,113
104,108,114
105,109,114
106,110,115
107,111,115
108,112,115
109,113,116
110,114,116
111,115,117
112,116,118
113,117,118
114,118,119
115,119,120
116,120,120
117,121,121
118,122,121
119,123,122
120,124,122
121,125,123
122,126,123
123,127,124
124,128,124
125,129,125
126,130,125
127,131,125
128,132,126
129,133,126
130,134,127
131,135,127
132,136,127
133,137,127
134,138,127
135,139,126
136,140,126
137,141,125
138,142,125
139,143,124
140,144,124
141,145,123
142,146,123
143,147,122
144,148,121
145,149,121
146,150,120
147,151,120
148,152,119
149,153,119
150,154,118
151,155,118
152,156,117
153,157,117
154,158,116
155,159,115
156,160,115
157,161,114
158,162,114
159,163,113
160,164,112
161,165,112
162,166,112
163,167,111
164,168,111
165,169,110
166,170,110
167,171,109
168,172,108
169,173,108
170,174,107
171,175,107
172,176,106
173,177,106
174,178,105
175,179,105
176,180,104
177,181,104
178,182,103
179,183,102
180,184,102
181,185,101
182,186,101
183,187,100
184,188,100
185,189,99
186,190,99
187,191,98
188,192,97
189,193,97
190,194,96
191,195,96
192,196,95
193,197,95
194,198,94
195,199,94
196,200,93
197,201,92
198,202,91
199,203,91
200,204,90
201,205,89
202,206,88
203,207,87
204,208,86
205,209,85
206,210,84
207,211,83
208,212,82
209,213,81
210,214,80
211,215,79
212,216,78
213,217,78
214,218,76
215,219,75
216,220,74
217,221,72
218,222,71
219,223,69
220,224,69
221,225,68
222,226,67
223,227,66
224,228,65
225,229,65
226,230,64
227,231,63
228,232,62
229,233,61
230,234,60
231,235,59
232,236,58
233,237,57
234,238,56
235,239,55
236,240,55
237,241,54
238,242,53
239,243,52
240,244,51
241,245,50
242,246,49
243,247,48
244,248,47
245,249,46
246,250,46
247,251,44
248,252,43
249,253,42
250,254,42
251,255,41
252,256,40
253,257,39
254,258,38
255,259,37
256,260,36
257,261,35
258,262,34
259,263,33
260,264,32
261,265,32
262,266,30
263,267,29
264,268,28
265,269,28
266,270,27
267,271,26
268,272,25
269,273,24
270,274,24
