,x,y
0,60,326
1,61,327
2,62,328
3,63,329
4,64,330
5,65,331
6,66,333
7,67,334
8,68,335
9,69,335
10,70,336
11,71,338
12,72,339
13,73,340
14,74,341
15,75,342
16,76,342
17,77,343
18,78,342
19,79,343
20,80,343
21,81,343
22,82,344
23,83,344
24,84,345
25,85,345
26,86,346
27,87,347
28,88,348
29,89,348
30,90,347
31,91,348
32,92,348
33,93,349
34,94,349
35,95,350
36,96,350
37,97,350
38,98,350
39,99,350
40,100,349
41,143,385
42,144,386
43,145,386
44,146,386
45,147,388
46,148,389
47,149,389
48,150,391
49,151,391
50,152,392
51,153,392
52,154,392
53,155,392
54,156,392
55,157,392
56,158,392
57,159,395
58,160,398
59,161,398
60,162,399
61,163,399
62,164,401
63,165,401
64,166,401
65,167,401
66,168,401
67,169,401
68,170,401
69,171,401
70,172,401
71,173,402
72,174,403
73,175,404
74,176,404
75,177,405
76,178,405
77,179,407
78,180,407
79,181,407
80,182,408
81,183,408
82,184,408
83,185,408
84,186,408
85,187,410
86,188,410
87,189,411
88,190,411
89,191,413
90,192,414
91,193,416
92,194,417
93,195,416
94,196,416
95,197,416
96,198,417
97,199,417
98,200,417
99,201,417
100,202,417
101,203,416
102,204,416
103,205,416
104,276,454
105,277,454
106,278,454
107,279,454
108,280,454
109,281,454
110,282,454
111,283,455
112,284,455
113,285,457
114,286,457
115,287,457
116,288,457
117,289,458
118,290,459
119,291,460
120,292,460
121,293,461
122,294,461
123,295,461
124,296,463
125,297,463
126,298,463
127,299,464
128,300,464
129,301,466
130,302,466
131,303,466
132,304,470
133,305,470
134,306,470
135,307,470
136,308,470
137,309,470
138,310,470
139,311,470
140,312,471
141,313,471
142,314,471
143,315,471
144,316,473
145,317,473
146,318,473
147,319,474
148,320,475
149,321,475
150,322,476
151,323,476
152,324,479
153,325,479
154,326,479
155,327,479
156,328,479
157,329,479
158,330,480
159,331,480
160,332,481
161,333,481
162,334,482
163,335,482
164,336,482
165,337,484
166,338,484
167,339,485
168,340,485
169,341,486
170,342,486
171,343,486
172,344,486
173,345,487
174,346,488
175,347,488
176,348,489
177,349,489
178,350,489
179,351,489
180,352,491
181,353,491
182,354,491
183,355,491
184,356,492
185,357,492
186,358,492
187,359,492
188,360,491
189,361,491
190,362,491
191,363,490
192,364,489
193,365,489
194,366,489
195,367,488
196,368,489
197,369,489
198,370,489
199,371,486
200,372,486
201,373,486
202,374,484
203,375,483
204,376,482
205,377,481
206,378,456
207,379,455
208,380,455
209,381,454
210,382,452
211,383,451
212,384,451
213,385,450
214,386,449
215,387,449
216,388,448
217,389,447
218,390,445
219,391,445
220,392,471
221,393,471
222,394,471
223,395,470
224,396,470
225,397,470
226,398,470
227,399,470
228,400,468
229,401,467
230,402,467
231,403,467
232,404,466
233,405,464
234,406,464
235,407,464
236,408,463
237,409,463
238,410,463
239,411,461
240,412,461
241,413,461
242,420,381
243,421,381
244,422,381
245,423,382
246,424,455
247,425,455
248,426,454
249,427,454
250,428,690
251,429,690
252,430,691
253,431,691
254,432,691
255,433,690
256,434,690
257,435,688
258,436,449
259,437,448
260,438,447
261,439,446
262,440,445
263,441,445
264,442,445
265,443,445
266,444,444
267,445,442
268,446,442
269,447,441
270,448,441
271,449,440
272,460,446
273,461,445
274,462,445
275,463,445
276,464,445
277,465,445
278,466,445
279,467,445
280,468,445
281,469,445
282,470,444
283,471,443
284,472,442
285,473,441
286,474,440
287,475,439
288,476,439
289,477,439
290,478,439
291,479,423
292,480,423
293,481,424
294,482,424
295,483,424
296,484,423
297,485,422
298,486,421
299,487,421
300,488,420
301,489,418
302,490,417
303,491,418
304,492,417
305,493,416
306,494,415
307,495,415
308,496,415
309,497,414
310,498,414
311,499,414
312,500,414
313,501,398
314,502,398
315,503,398
316,504,398
317,505,398
318,506,398
319,507,398
320,508,398
321,509,398
322,510,398
323,511,399
324,512,399
325,513,400
326,514,400
327,515,400
328,516,401
329,517,400
330,518,400
331,519,399
332,520,399
333,521,398
334,522,396
335,523,399
336,524,399
337,525,399
338,526,398
339,527,398
340,528,398
341,529,398
342,530,398
343,531,398
344,532,398
345,533,397
346,534,396
347,535,396
348,536,396
349,537,396
350,538,395
351,539,395
352,540,395
353,541,394
354,542,394
355,543,394
356,544,370
357,545,370
358,546,370
359,547,370
360,548,370
361,549,371
362,550,373
363,551,373
364,552,373
365,553,373
366,554,373
367,555,373
368,556,373
369,557,374
370,558,386
371,559,387
372,560,384
373,561,389
374,562,388
375,563,389
376,564,386
377,565,385
378,566,385
379,567,384
380,568,383
381,569,383
382,570,382
383,571,382
384,572,381
385,573,380
386,574,379
387,575,378
388,576,377
389,577,376
390,578,376
391,579,376
392,580,376
393,581,368
394,582,367
395,583,367
396,584,365
397,677,295
398,678,295
399,679,294
400,680,292
401,681,290
402,682,290
403,683,289
404,684,288
405,685,287
406,686,286
407,687,286
408,688,286
409,689,286
410,690,285
411,691,285
412,692,284
413,693,284
414,694,283
415,695,281
416,696,280
417,697,280
418,698,279
419,709,267
420,710,267
421,711,266
422,712,266
423,713,265
424,714,264
425,715,264
426,716,263
427,717,262
428,718,261
429,719,260
430,720,258
431,721,257
432,722,255
433,723,254
434,724,254
435,725,253
436,726,252
437,727,251
438,728,251
439,729,250
440,730,249
441,731,248
442,732,248
443,733,247
444,734,246
445,735,246
446,736,245
447,737,245
448,738,244
449,739,243
450,740,242
451,741,242
452,742,240
