,x,y
0,0,33
1,1,33
2,2,34
3,3,34
4,4,35
5,5,36
6,6,36
7,7,37
8,8,38
9,9,38
10,10,39
11,11,39
12,12,40
13,13,41
14,14,41
15,15,42
16,16,42
17,17,43
18,18,43
19,19,44
20,20,44
21,21,45
22,22,45
23,23,46
24,24,46
25,25,47
26,26,48
27,27,48
28,28,49
29,29,50
30,30,50
31,31,51
32,32,52
33,33,53
34,34,53
35,35,54
36,36,54
37,37,55
38,38,56
39,39,56
40,40,56
41,41,57
42,42,57
43,43,58
44,44,58
45,45,59
46,46,59
47,47,60
48,48,60
49,49,60
50,50,61
51,51,61
52,52,62
53,53,62
54,54,62
55,55,62
56,56,62
57,57,62
58,58,62
59,59,61
60,60,61
61,61,60
62,62,59
63,63,59
64,64,59
65,65,58
66,66,58
67,67,57
68,68,57
69,69,56
70,70,56
71,71,55
72,72,55
73,73,54
74,74,54
75,75,53
76,76,52
77,77,52
78,78,51
79,79,51
80,80,50
81,81,49
82,82,49
83,83,48
84,84,47
85,85,47
86,86,46
87,87,46
88,88,45
89,89,43
90,90,43
91,91,42
92,92,41
93,93,40
94,94,40
95,95,40
96,96,39
97,97,37
